Distance_(microns),SERCA_gray_avg_wd1,SERCA_gray_avg_wd2,SERCA_gray_avg_wd3,SERCA_gray_avg_wd4,SERCA_gray_avg_wd5,SERCA_gray_avg_wd6,SERCA_gray_avg_wd7,SERCA_gray_avg_wd8,SERCAmCherry_gray_avg_wd1,SERCAmCherry_gray_avg_wd2,SERCAmCherry_gray_avg_wd3,SERCAmCherry_gray_avg_wd5,SERCAmCherry_gray_avg_wd6,SERCAmCherry_gray_avg_wd8
6.129,635.2876667,659.466,514.646,440.2993333,573.6616667,538.6936667,506.098,486.174,646.289,765.3676667,637.4773333,625.3536667,573.8086667,543.6126667
6.356,638.4876667,664.3383333,545.3846667,425.8713333,601.056,556.5336667,512.8823333,479.679,635.236,788.6636667,622.6916667,642.4096667,560.0786667,511.154
6.583,651.7703333,674.2586667,536.9633333,433.6516667,612.7203333,547.0206667,508.461,480.2566667,632.9096667,770.7446667,622.3623333,647.9453333,560.2546667,519.6923333
6.81,639.4643333,635.859,510.153,457.2423333,591.7136667,536.232,505.3283333,492.2303333,628.711,753.0843333,634.4676667,628.5306667,553.6706667,534.2416667
7.037,646.3096667,639.5736667,493.201,463.7843333,590.93,518.1763333,502.745,493.1653333,617.4013333,737.3083333,634.1936667,620.57,553.7373333,533.047
7.264,632.3823333,671.8193333,497.396,465.212,569.0126667,526.2,509.6766667,472.089,649.0656667,710.7453333,642.924,642.7523333,577.093,526.2856667
7.49,628.961,664.8966667,508.061,456.7083333,569.5546667,553.3873333,512.6473333,488.7883333,656.1866667,718.6796667,646.2703333,632.8056667,564.7276667,543.942
7.717,651.9476667,666.3016667,515.2,447.7726667,589.2626667,542.6406667,520.1666667,518.4373333,619.7663333,727.814,629.857,608.7206667,544.9506667,546.1346667
7.944,655.5873333,670.3096667,507.4866667,461.303,591.995,529.2286667,514.2646667,491.7743333,635.8166667,711.34,624.779,622.1373333,568.0896667,531.8443333
8.171,650.3633333,679.3783333,488.2183333,464.1133333,574.7516667,547.5493333,506.446,477.853,662.249,674.1546667,630.553,648.4886667,581.3566667,540.6626667
8.398,642.3503333,672.2843333,483.4996667,463.7803333,578.9386667,552.611,513.8333333,492.3066667,656.6296667,687.6526667,636.4676667,647.1253333,570.1336667,536.6983333
8.625,637.7043333,665.35,489.0166667,467.6666667,574.381,518.6743333,504.652,478.3836667,631.7253333,722.5216667,622.429,646.08,559.1833333,526.2796667
8.852,636.2956667,669.0403333,493.4676667,464.1136667,596.4253333,527.9346667,492.2353333,472.416,619.8313333,727.3216667,616.944,640.265,550.6163333,514.859
9.079,613.366,676.2586667,492.4913333,457.447,576.723,513.0326667,490.7893333,479.3946667,617.515,720.207,631.4103333,624.9146667,543.6453333,509.26
9.306,604.6873333,682.0266667,496.9113333,448.6896667,569.9396667,500.3333333,515.0096667,485.748,648.3783333,706.4323333,640.2746667,637.3226667,547.8813333,531.05
9.533,642.3326667,681.585,495.7816667,441,570.056,531.7186667,519.5783333,476.348,667.6726667,737.4536667,636.8186667,668.8513333,561.2726667,511.5673333
