Distance_(microns),SERCA_gray_avg_wd1,SERCA_gray_avg_wd2,SERCA_gray_avg_wd3,SERCA_gray_avg_wd4,SERCA_gray_avg_wd5,SERCA_gray_avg_wd6,SERCA_gray_avg_wd7,SERCA_gray_avg_wd8,mCherry_gray_avg_wd1,mCherry_gray_avg_wd2,mCherry_gray_avg_wd3,mCherry_gray_avg_wd5,mCherry_gray_avg_wd6,mCherry_gray_avg_wd6,mCherry_gray_avg_wd8
25.649,632.3293333,678.8966667,499.9026667,482.6966667,527.0496667,504.8756667,493.7256667,424.4653333,,,,,,,
25.876,637.633,688.2176667,496.246,471.3333333,524.6643333,501.6326667,491.7696667,435.4243333,,,,,,,
26.103,632.7396667,692.6413333,484.692,463.485,514.7373333,502.135,491.6276667,440.3163333,,,,,,,
26.33,631.3273333,673.5213333,502.985,472.5226667,515.567,501.522,481.3676667,434.2683333,,,,,,,
26.557,636.0316667,663.1376667,493.546,473.6513333,499.567,513.3806667,494.039,434.147,,,,,,,
26.784,641.751,672.7193333,509.4943333,474.9546667,494.036,525.501,495.348,449.9616667,,,,,,,
27.011,655.3616667,677.6416667,501.0233333,475.3373333,498.3073333,524.22,475,426.0673333,,,,,,,
27.238,653.7716667,676.9816667,493.2186667,459.265,525.1566667,518.2003333,467.049,425.042,,,,,,,
27.465,646.7966667,678.6913333,501.5503333,457.7083333,505.5536667,503.7263333,471.2646667,425.6166667,,,,,,,
27.692,630.8666667,663.105,493.7976667,455.924,515.3696667,500.2013333,474.76,421.0426667,,,,,,,
27.919,630.998,677.3136667,490.0486667,458.3556667,525.1166667,502.9033333,485.4313333,418.883,,,,,,,
28.146,631.7026667,696.7916667,500.0013333,469.932,526.5726667,500.2233333,497.1373333,415.158,,,,,,,
28.373,625.294,702.6383333,510.069,476.663,482.2056667,505.6863333,504.5296667,425.2783333,,,,,,,
28.6,617.7496667,688.1493333,506.2723333,472.591,517.7656667,521.2813333,505.6176667,433.6113333,,,,,,,
28.827,632.155,664.6543333,491.079,467.9623333,493.8686667,520.7093333,486.0393333,426.9096667,,,,,,,
29.054,645.7623333,667.851,495.4176667,468.0986667,511.1263333,532.6053333,486.289,418.858,,,,,,,
29.281,642.9366667,676.7266667,510.9336667,470.7423333,503.845,524.788,501.6473333,442.992,,,,,,,
29.508,628.4196667,667.582,520.4196667,474.3483333,494.0443333,520.9653333,484.2696667,440.2733333,,,,,,,
29.735,620.1653333,661.5586667,505.341,488.9656667,515.453,529.9346667,471.5003333,417.477,,,,,,,
29.962,625.1746667,654.7263333,500.447,489,510.6303333,510.6913333,482.9213333,424.678,,,,,,,
30.189,626.2866667,655.6223333,501.4293333,475.9696667,498.103,514.7123333,484.6173333,413.729,,,,,,,
30.416,643.103,662.0943333,504.968,481.485,507.99,524.8326667,475.2843333,437.8243333,,,,,,,
30.643,666.06,657.0866667,505.811,482.269,480.006,514.1576667,483.657,454.078,,,,,,,
30.87,658.65,647.976,495.8566667,477.3406667,477.1753333,507.4106667,497.5833333,425.991,,,,,,,
31.097,649.3296667,639.2403333,497.736,478.2916667,458.516,510.4556667,483.569,427.6863333,,,,,,,
31.324,658.5223333,656.017,497.571,477.091,474.866,536.4326667,468.0983333,448.9633333,,,,,,,
31.551,668.7163333,669.5543333,500.1426667,468.6326667,489.351,520.9136667,473.2843333,440.781,,,,,,,
31.778,664.2133333,644.971,504.4536667,465.5683333,524.748,501.211,487.25,447.206,,,,,,,
32.005,658.7363333,639.053,513.7593333,464.6703333,505.702,514.1303333,487.3333333,441.0526667,,,,,,,
32.232,654.8413333,675.416,489.716,458.6516667,504.4236667,529.72,484.044,431.2533333,,,,,,,
32.459,663.47,666.5453333,488.9843333,468.875,494.1496667,531.934,480.01,436.6786667,,,,,,,
32.686,648.6673333,636.9576667,502.0913333,482.9166667,497.2763333,528.1576667,480.5246667,445.71,,,,,,,
32.913,636.8106667,628.8176667,512.2233333,481.4393333,530.86,555.2516667,483.9506667,451.5276667,,,,,,,
33.14,648.5926667,645.1193333,520.6553333,480.6513333,514.5516667,544.421,488.1373333,443.64,,,,,,,
33.367,643.9886667,660.0206667,511.608,478.2803333,525.4176667,536.241,501.304,431.4786667,,,,,,,
33.594,643.2916667,641.2073333,521.1113333,462.9546667,497.197,527.7776667,518.946,447.8276667,,,,,,,
33.821,662.5753333,638.012,520.471,462.3103333,523.608,538.13,502.804,435.5906667,,,,,,,
34.048,663.8453333,641.0336667,502.682,467.5756667,513.959,536.1423333,476.5343333,423.2646667,,,,,,,
34.275,657.052,639.3433333,499.0143333,470.299,501.8406667,518.5886667,485.598,446.2816667,,,,,,,
34.502,671.7916667,642.573,513.7973333,478.0226667,501.941,543.5983333,490.206,438.4953333,,,,,,,
34.729,682.4446667,645.5146667,513.3413333,462.0036667,485.159,551.671,508.5,416.28,,,,,,,
34.956,668.9733333,650.9956667,515.1293333,450.8333333,479.5213333,547.6213333,507.1666667,430.109,,,,,,,
35.183,668.6766667,654.9613333,526.5723333,462.038,495.4456667,561.991,477.7646667,416.4243333,,,,,,,
35.41,680.3776667,650.0816667,520.991,477.826,481.8546667,566.588,474.9363333,422.4016667,,,,,,,
35.637,682.9826667,648.2083333,526.2006667,483.1553333,465.6813333,549.0906667,492.706,431.9206667,,,,,,,
35.864,682.9776667,645.864,520.481,482.9393333,481.4256667,524.626,494.3086667,433.7026667,,,,,,,
36.091,672.8083333,633.3053333,519.9983333,477.5076667,462.5696667,559.8043333,468.4116667,447.336,,,,,,,
36.318,667.483,627.2703333,519.9186667,471.6136667,490.2746667,581.2453333,478.995,442.357,,,,,,,
36.545,665.8966667,631.4633333,520.989,485.004,498.411,556.798,502.402,422.906,,,,,,,
36.771,666.869,642.4746667,540.743,484.1063333,513.8213333,532.6936667,508.897,419.3633333,,,,,,,
36.998,672.8163333,634.4523333,547.8403333,471.443,513.307,529.577,504.3336667,425.4756667,,,,,,,
37.225,680.3086667,621.362,550.6186667,479.9316667,512.565,561.9333333,490.9213333,441.565,,,,,,,
37.452,691.256,616.023,529.7416667,502,503.305,539.0676667,493.1273333,461.0913333,,,,,,,
37.679,690.6536667,618.6486667,535.455,516.0303333,503.1833333,526.788,491.706,446.6226667,,,,,,,
37.906,696.43,621.976,549.705,495.4543333,506.144,549.6943333,499.4116667,435.013,,,,,,,
38.133,705.3763333,628.2216667,528.629,474.4923333,495.6023333,556.0653333,515.853,425.846,,,,,,,
38.36,704.5636667,628.4896667,517.6546667,478.8223333,488.2043333,554.2113333,518.441,431.1063333,,,,,,,
38.587,703.024,623.4976667,523.3436667,467.9546667,510.356,580.3693333,509.4166667,430.235,,,,,,,
38.814,696.5363333,620.2853333,527.9563333,471.6626667,497.7703333,565.455,507.3336667,446.2276667,,,,,,,
39.041,685.887,613.589,520.3726667,493.3106667,496.089,542.7906667,506.6763333,430.1113333,,,,,,,
39.268,674.5026667,631.152,531.803,494.2956667,484.3426667,552.8846667,517.294,446.0856667,,,,,,,
39.495,675.4726667,651.678,521.6696667,490.4543333,521.7946667,559.0046667,522.1373333,443.7396667,,,,,,,
39.722,680.257,645.89,539.8806667,502.6666667,492.3063333,575.265,496.0293333,435.9516667,,,,,,,
39.949,679.918,622.4883333,556.5806667,497.0833333,503.845,565.8856667,489.333,478.5863333,,,,,,,
40.176,680.741,604.8903333,547.9433333,486.485,509.803,567.043,484.1276667,484.894,,,,,,,
40.403,691.9803333,605.7633333,537.9196667,488.3636667,526.641,578.135,474.848,444.6623333,,,,,,,
40.63,708.83,616.4943333,525.2,485.163,526.0766667,579.367,488.6863333,418.7233333,,,,,,,
40.857,725.174,640.9213333,538.769,492.0303333,471.821,579.0426667,497.9413333,434.252,,,,,,,
41.084,731.2486667,632.8786667,545.7296667,505.0073333,472.5083333,589.587,499.1373333,442.596,,,,,,,
41.311,720.292,628.5223333,559.6563333,507.8033333,511.471,575.7176667,499.6863333,429.2803333,,,,,,,
41.538,718.081,631.7573333,574.2296667,494.2273333,513.642,555.9933333,497.51,448.6453333,,,,,,,
41.765,729.5053333,631.1666667,572.6196667,493.0226667,518.3126667,555.859,489.6176667,434.5103333,,,,,,,
41.992,735.2103333,630.1156667,571.423,500.3636667,486.3313333,548.3053333,484.9216667,441.3736667,,,,,,,
42.219,728.6056667,631.597,555.174,501.4393333,521.58,552.7836667,495.0003333,451.992,,,,,,,
42.446,713.386,637.458,537.886,502.625,525.582,556.3273333,503.1666667,410.7673333,,,,,,,
42.673,718.166,633.7476667,533.895,517.341,493.69,558.9626667,498.8333333,429.234,,,,,,,
42.9,733.391,623.4246667,522.6303333,527.4393333,530.6593333,563.5183333,506.461,442.561,,,,,,,
43.127,746.2703333,609.7773333,522.4326667,518.2273333,483.7453333,575.5516667,497.858,460.6073333,,,,,,,
43.354,743.1783333,624.853,547.662,506.0076667,458.1126667,584.2456667,483.441,464.6733333,,,,,,,
43.581,727.053,650.434,561.891,505.3406667,521.877,604.59,475.461,453.9936667,,,,,,,
