"","disc1-WT-Avg","disc2-WT-Avg","disc3-WT-Avg","disc4-WT-Avg","disc5-WT-Avg","disc6-WT-Avg","disc7-WT-Avg","disc8-WT-Avg","disc10-WT-Avg","disc11-WT-Avg","disc12-WT-Avg","disc13-WT-Avg","disc15-WT-Avg"
"89",122.8605,-10.4015,190.918,108.1155,161,19.5,297.8675,168.575,88.507,-67,67.0545,25.5,-111.602
"90",171.255,-65.2905,262.7275,60.5985,130,37,377.4815,217.665,18.8065,37,88.1035,80.5,-53.1975
"91",184.0085,-79.095,160.8555,-10.898,193,141.5,253.296,201.0715,50.75,186.5,63.772,20,46.898
"92",258.136,17.2995,231.2855,78.493,101,157,373.5835,228.626,121.014,142,57.0155,-48,66.83
"93",248.852,-31.51,169.1715,76.854,113.5,139,340.6465,230.354,85.3215,24,80.187,22,10.194
"94",133.7075,-18.7535,227.102,76.602,158.5,117.5,283.8115,265.774,145.5205,-6,113.0985,3,-64.3775
"95",234.845,62.1665,269.949,89.5595,153,148,344.053,207.16,95.0085,30.5,71.3265,67.5,-46.939
"96",273.483,20.694,153.432,95.425,156,179,371.8795,304.114,189.034,36,55.3775,144.5,-88.194
"97",179.134,31.432,263.022,20.682,179,153.5,363.75,384.153,101.6075,-31,129.177,79,-52.434
"98",157.687,-1.301,129.8775,74.483,138.5,131,343.706,283.313,104.381,6.5,120.8945,111.5,-66.6125
"99",205.8725,-16.8675,293.0475,153.529,190,314.5,426.0205,418.3435,162.104,1.5,137.102,23,-93.041
"100",230.721,61.255,336.5235,49.8675,204,139,426.7295,369.8335,101.694,14.5,50.592,35.5,-41.908
"101",157.983,100.6325,392.3925,88.493,264.5,181.5,507.9915,280.048,72.876,8,233.058,134.5,-116.6925
"102",252.619,184.857,356.4455,136.592,218.5,194.5,368.3555,340.1295,86.7075,16,119.67,12,30.561
"103",101.5085,138.34,355.131,95.7025,144,248,435.1125,230.626,164.6175,20.5,193.1865,32.5,-61.1275
"104",253.901,46.0935,303.3265,149.432,232.5,279.5,356.182,290.5055,192.762,118,223.874,66,-91.5815
"105",54.1665,61.449,346.345,64.9645,172.5,222,465.995,222.5275,169.012,116,188.374,144,-34.206
"106",173.7175,68.99,352.619,80.0645,188,146,537.3115,262.551,140.929,22.5,199.7445,82,-28.806
"107",180.3755,72.201,322.01,151.631,187,218.5,490.444,247.7825,142.3115,64.5,174.4795,104,-34.9815
"108",151.9385,162.9335,328.095,185.2345,269.5,246.5,453.621,308.548,108.2925,49.5,234.238,171,-31.2245
"109",191.8435,43.0715,379.7465,104.136,339,316,446.852,255.4865,73.3215,-11.5,178.4995,159,-62.2245
"110",271.7075,60.7145,357.459,256.5955,317.5,351.5,415.6615,252.9,178.4255,55,158.7925,72,64.765
"111",263.692,155.408,279.3385,195.182,308,332.5,581.886,294.252,131.216,109.5,130.544,101,61.845
"112",160.8705,92.837,271.6565,135.5375,333.5,294,473.2295,383.818,184.929,17,171.964,94.5,9.6325
"113",290.396,85.024,323.464,186.2125,385.5,406,507.888,254.296,234.4745,121,199.112,157.5,-30.6155
"114",145.221,83.1125,229.316,71.4525,387,277.5,477.587,151.9455,176.303,187.5,173.1225,40.5,14.1905
