POSITION,old_mCherry_avg_wd1,old_mCherry_avg_wd2,old_mCherry_avg_wd3,old_mCherry_avg_wd4,old_mCherry_avg_wd5,old_mCherry_avg_wd6,old_mCherry_avg_wd7,old_mCherry_avg_wd8,old_mCherry_avg_wd9,old_mCherry_avg_wd10,old_mCherry_avg_wd11,new_orai_avg_wd2,new_orai_avg_wd3,new_orai_avg_wd4,new_orai_avg_wd5,new_orai_avg_wd6,new_orai_avg_wd8,old_orai_avg_wd1,old_orai_avg_wd2,old_orai_avg_wd3,old_orai_avg_wd4,old_orai_avg_wd5,stim_avg_wd2,stim_avg_wd3,stim_avg_wd4,stim_avg_wd6,stim_avg_wd7,stim_avg_wd8,stim_avg_wd9,stim_avg_wd10,stim_avg_wd11,stim_avg_wd12,disc1-WT-Avg,disc2-WT-Avg,disc3-WT-Avg,disc4-WT-Avg,disc5-WT-Avg,disc6-WT-Avg,disc7-WT-Avg,disc8-WT-Avg,disc10-WT-Avg,disc11-WT-Avg,disc12-WT-Avg,disc13-WT-Avg,disc15-WT-Avg,disc1-Avg-Best2,disc3-Avg-Best2,disc4-Avg-Best2,disc5-Avg-Best2,disc6-Avg-Best2,disc7-Avg-Best2,disc8-Avg-Best2,disc9-Avg-Best2,disc10-Avg-Best2,disc11-Avg-Best2,disc12-Avg-Best2,disc13-Avg-Best2,disc14-Avg-Best2,new_mCherry_avg_wd2,new_mCherry_avg_wd5,new_mCherry_avg_wd6,new_mCherry_avg_wd7,new_mCherry_avg_wd8,new_mCherry_avg_wd9,new_mCherry_avg_wd10,new_mCherry_avg_wd11,SERCA_gray_avg_wd1,SERCA_gray_avg_wd2,SERCA_gray_avg_wd3,SERCA_gray_avg_wd4,SERCA_gray_avg_wd5,SERCA_gray_avg_wd6,SERCA_gray_avg_wd7,SERCA_gray_avg_wd8,SERCAmCherry_gray_avg_wd1,SERCAmCherry_gray_avg_wd2,SERCAmCherry_gray_avg_wd3,SERCAmCherry_gray_avg_wd5,SERCAmCherry_gray_avg_wd6,SERCAmCherry_gray_avg_wd8
77.175,806.44575,847.5665,1663.30775,725.55775,654.311,856.224,821.812,922.58625,1467.99425,818.0915,700.54475,96.77366667,303.5,149.9813333,122.8006667,94.77966667,108.7283333,3.59025,590.7905,359.23525,340.8315,635.972,541.46625,593.8995,503.749,680.96475,1188.5,502.249,94.86375,927.25975,39.7975,612.22175,1244.335,1213.422,1219.199,607.034,499,758,1192.141,1121.381,961.711,832.5,781.435,693.5,569.063,872.0595,877.5,1057.9895,416.541,844.034,741.097,865.517,799.034,550.5,528.0135,557.3605,790.712,385.781,308.4376667,286.8226667,433.81,367.4773333,442.136,462.528,256.7213333,426.179,897.769,1107.056333,675.9313333,568.6666667,823.796,882.834,734.5,731.137,867.1486667,908.6363333,678.9586667,777.4166667,766.947,643.0136667
77.402,925.6505,823.26,1769.9175,649.07825,680.501,894.2815,882.98275,895.24275,1422.21825,877.7895,661.33425,123.6306667,269.6666667,149.0116667,128.811,103.8493333,109.1836667,6.095,587.25775,394.078,358.62925,511.84925,416.202,671.9765,526.3775,765.92225,1191,428.83525,139.93675,896.1345,58.01125,495.7105,1247.0915,1169.99,1166.568,581.5985,464.5,660.5,1147.175,1087.8285,1006.8065,605,657.4455,721,592.1495,914.204,884.5,1002.2005,436.5885,880.1465,712.8335,813.0375,848.342,503.5,629.872,668.5445,870.51,478.6905,288.47,302.7656667,434.4006667,357.189,425.9216667,394.6106667,252.904,412.8703333,898.011,1093.449333,677.4483333,563.375,828.4143333,840.503,719.804,716.645,860.7533333,903.1066667,663.76,794.2676667,768.5866667,661.9913333
77.629,892.77025,811.8925,1796.79875,572.69925,624.95,830.52925,990.1715,861.58125,1413.85725,808.64925,606.18525,120.5313333,286.8333333,141.4553333,110.9606667,105.4836667,119.3563333,-43.3655,636.60175,367.98975,357.04675,526.2885,557.659,575.44075,553.6455,741.889,1059.25,420.27425,87.149,925.6755,-1.628,556.30725,1086.92,1213.789,1248.685,561.587,508,767.5,1102.944,1169.99,1019.4645,782,653.6085,684.5,569.5765,922.828,889,1077.01,393.4355,807.192,770.8215,831.4145,777.2265,526,600.8265,807.153,803.3965,627.2145,296.9363333,312.9383333,408.6666667,376.7383333,403.456,405.28,289.498,419.2136667,896.886,1096.178333,708.0443333,552.4243333,797.7816667,848.966,721.657,700.3313333,849.084,906.3173333,666.5223333,811.1093333,734.5776667,618.1273333
77.856,992.337,710.60825,1634.63825,590.08375,622.24525,798.656,909.1635,848.596,1421.802,871.52025,557.7775,108.702,288.3333333,137.6636667,103.6073333,114.0656667,136.5886667,8.8255,612.937,224.77825,265.57,566.47975,558.9445,657.1955,510.00725,793.88675,1149,415.893,77.26525,909.11975,51.129,471.58275,1160.34,1205.949,1088.714,575.636,587,789.5,1240.6005,1009.9795,929.643,627,685.4095,590.5,524.4695,911.8675,825.5,1084.2905,334.779,821.2415,727.898,907.925,743.4475,486.5,804.4675,701.8505,895.915,550.303,360.62,305.57,387.7206667,374.8,385.9506667,447.4196667,281.2566667,467.3973333,902.8123333,1117.436667,699.4203333,542.11,769.1013333,824.1146667,749.6863333,686.2643333,839.144,927.119,662.413,781.9813333,739.251,660.3876667
78.083,989.1175,693.87525,1687.16875,476.92875,636.5675,786.64475,882.645,987.837,1442.65825,960.449,602.63875,112.595,298.5,157.5603333,120.5566667,117.1926667,131.16,-34.6745,611.0535,229.72175,171.252,534.80425,456.5555,611.566,459.023,657.08125,1057.5,293.06975,29.56625,833.49475,73.89925,554.44725,1116.1735,1243.7145,1177.634,516.8795,468.5,754.5,1051.825,1137.895,923.143,537.5,659.898,711,519.4865,946.8875,839,1017.2825,500.4185,714.75,773.4645,926.044,854.2295,455,646.9285,743.16,832.1985,575.218,342.7796667,286.2646667,377.2513333,400.1913333,369.4693333,377.816,283.705,364.582,913.8483333,1135.880333,702.3156667,539.235,762.6616667,796.1553333,754.8333333,689.3506667,841.015,916.786,649.8416667,762.554,757.0303333,643.4876667
78.31,814.82675,764.6975,1636.18575,464.224,786.3325,744.48175,859.30075,968.53125,1344.95475,830.544,610.555,124.1586667,283,146.9776667,128.2323333,113.675,120.116,-77.80675,540.99575,206.66625,195.75475,617.0655,474.23275,626.4145,518.4225,758.18325,1010.75,394.045,-38.23425,925.17875,91.39825,586.22625,1074.3195,1244.0355,1376.779,594.1325,599.5,766,1155.046,1088.393,944.5615,650,674.3415,763.5,582.4385,913.4085,920.5,947.3385,526.7315,779.5545,825.16,881.6495,818.961,417.5,662.0355,709.689,914.1305,512.133,339.157,291.4183333,381.0903333,397.0836667,370.1153333,378.4876667,259.2693333,361.5153333,890.4693333,1142.509333,689.848,534.7726667,767.519,811.0406667,745.7746667,728.3183333,850.7226667,885.606,655.555,785.7923333,736.137,643.1763333
78.537,794.3405,676.48625,1754.112,487.32475,717.3735,730.29975,806.74725,935.6895,1318.29325,915.2725,625.7295,138.321,300.8333333,144.7113333,129.159,105.399,107.114,30.597,507.70675,134.6085,249.516,532.52825,315.1025,668.5515,461.02375,827.01775,1075.5,375.70475,-115.25875,901.8665,4.4005,552.99025,1219.697,1261.262,1313.2905,589.5645,555,753.5,1174.0355,1080.3165,936.3165,734,730.17,759.5,627.811,960.272,862,1115.765,412.9355,757.7175,771.5205,871.0985,888.7125,408,686.0575,643.5645,942.8045,585.7415,353.8033333,313.1716667,372.089,389.4746667,391.2686667,391.025,245.655,366.3273333,853.259,1147.493333,696.6743333,538.8033333,759.874,817.0323333,731.5393333,723.5106667,861.6536667,869.165,657.225,777.1516667,762.736,613.1696667
78.764,845.3415,699.571,1716.7625,464.46375,720.49775,742.60525,762.6025,909.102,1304.45575,864.646,608.554,134.1506667,281.1666667,139.9186667,141.551,87.86966667,104.9743333,-41.13475,466.3765,191.689,271.829,601.6465,248.70575,653.39775,413.89475,804.43575,1063.25,345.356,-25.101,821.90425,40.4965,609.891,1098.391,1231.2145,1288.6565,615.585,412.5,793,1273.0155,1131.252,942.922,779,732.0115,620,525.6565,870.153,850.5,1043.709,477.2485,834.1155,869.0135,775.493,858.5255,420,635.8975,784.684,860.454,553.9935,335.2666667,301.1453333,347.6213333,394.4843333,394.5663333,387.3536667,250.2793333,387.778,861.1003333,1162.431333,689.9763333,550.1286667,735.1093333,810.4813333,732.853,719.714,844.4976667,869.4383333,651.9256667,760.1806667,762.4466667,650.9416667
78.991,741.64125,628.45425,1721.162,453.46625,822.26575,723.25325,765.48025,935.69225,1301.913,922.57925,606.295,120.9203333,280.1666667,140.2416667,128.1013333,91.539,97.127,-91.23325,469.89775,150.45925,163.0975,483.9405,273.551,698.667,454.6895,782.37125,1043.25,208.9015,-34.45975,801.992,40.04175,536.63425,1074.656,1200.5885,1321.464,640.551,597,736.5,1218.189,1415.4595,984.903,786,537.9825,746.5,712.5355,1014.716,943,1093.3095,442.109,742.682,809.58,836.1085,929.9355,456,714.857,664.5445,811.4765,584.6175,334.6173333,293.306,325.5433333,420.805,386.1293333,339.362,253.1316667,370.832,875.4236667,1149.890667,684.8556667,545.4393333,737.642,790.9776667,742.1766667,735.1583333,844.1123333,885.326,665.572,761.8493333,744.9383333,602.6266667
79.218,753.638,639.85625,1606.26025,423.6505,723.96175,685.46025,797.076,960.817,1268.01925,948.68325,599.5195,120.873,267.8333333,146.4603333,126.4143333,116.5413333,109.174,-62.6065,373.14075,174.26475,95.46325,494.06325,297.22775,634.81325,363.81625,804.86225,969.25,217.72275,-7.957,853.29425,53.199,490.98175,1106.4625,1340.733,1165.9895,643.279,457.5,625.5,1240.012,1284.2095,912.8575,544.5,634.2585,732,645.643,847.119,821,1036.658,525.9765,782.5715,782.306,811.7365,1029.2125,482.5,653.318,670.825,917.7925,476.143,346.8686667,296.892,318.138,420.199,386.6633333,392.3076667,260.0893333,360.1533333,869.536,1135.074333,679.2746667,522.674,752.3396667,785.3703333,747.7453333,739.1976667,846.0746667,902.8636667,630.781,770.086,728.085,625.5173333
79.445,752.983,619.71675,1681.6155,486.25225,725.303,733.3415,815.7015,910.74925,1338.9525,913.0915,575.31275,135.3886667,274.6666667,158.689,137.0326667,110.8843333,131.8473333,-164.9775,417.9515,246.2805,94.9085,448.767,289.02725,551.577,415.03775,695.967,1099.5,295.48975,-124.43875,793.15025,-30.82475,469.862,1112.719,1304.337,1273.988,758.33,520,755,1224.175,1209.803,920.2215,686.5,603.044,716.5,651.0185,807,864,999.2145,401.058,845.0255,823.738,764.7755,987.8165,605,663.9795,665.272,874.454,559.808,385.7133333,314.9983333,316.352,437.7906667,363.864,376.955,240.3373333,345.04,845.1076667,1153.196,719.38,527.4393333,793.0576667,787.3806667,760.0686667,718.0756667,875.7003333,902.4826667,659.6756667,781.035,697.2203333,637.0083333
79.672,751.85275,641.28375,1549.543,372.81,719.612,785.02825,705.90075,901.738,1165.19025,862.603,548.867,132.7616667,283.8333333,149.2556667,109.228,92.18933333,114.4093333,-73.45825,372.139,181.39375,115.36,488.937,192.06875,646.60675,409.78675,828.773,1024.5,223.21925,-14.968,794.032,63.61525,539.683,1009.2685,1315.2775,1183.1395,694.32,538.5,721,1243.8725,1243.8605,993.653,693.5,606.736,687.5,635,909.874,999.5,1032.257,413.4965,758.932,831.439,850.231,1067.4235,544,667.0915,667.245,925.253,602.194,299.809,320.6296667,351.4996667,431.714,335.9303333,371.8033333,266.6023333,351.6106667,840.7756667,1166.923,692.5146667,539.5493333,775.6976667,777.4843333,753.0983333,754.691,906.0726667,876.287,650.133,789.4036667,702.998,616.562
79.899,752.43775,646.85275,1684.3735,442.37225,609.46375,723.086,681.22175,841.81625,1327.08025,846.91625,571.29325,134.2336667,279.1666667,139.9646667,98.02466667,91.61366667,126.548,-110.99675,368.06125,170.4775,30.5225,403.375,221.17675,539.01825,381.309,741.702,912.25,228.0395,-28.82725,697.08075,17.18325,426.20675,1099.58,1402.9865,1244.2905,711.2685,540.5,639.5,1299.665,1372.3335,936.895,621.5,620.105,706.5,582.085,860.978,980.5,953.2755,454.5665,748.8675,762.7345,760.078,976.7945,547,568.0915,576.9115,828.335,545.0885,337.7403333,320.351,374.5613333,391.194,324.0696667,348.4626667,262.5626667,309.9866667,832.313,1185.304667,682.2973333,537.5,748.332,774.7506667,732.4216667,712.5426667,836.899,856.7506667,662.6913333,754.243,723.4576667,652.0656667
80.126,652.45575,522.7825,1603.8405,427.34625,584.9725,814.96725,697.2635,1004.97475,1269.6005,888.55425,521.594,138.9283333,276.3333333,156.4433333,120.3776667,82.66366667,102.2686667,-113.26925,366.88125,69.975,62.181,487.51825,247.946,542.59025,301.8075,701.034,983.5,223.26225,-62.52825,788.97075,58.363,540.52875,1023.585,1455.5715,1078.517,664.153,644,673.5,1373.0255,1401.2975,935.915,724.5,680.5065,735,665.8945,921.3575,958.5,1004.131,428.0305,766.939,778.932,653.8095,1085.0155,635,756.566,738.813,883.4435,539.99,347.732,309.5223333,339.524,373.474,332.9896667,323.6256667,275.034,311.434,822.2716667,1156.877667,691.2123333,537.7613333,722.12,772.1916667,718.255,741.101,864.007,882.1403333,652.379,739.312,725.675,615.5586667
80.353,731.2555,576.1955,1680.70925,426.6425,571.88575,695.49875,700.915,846.0755,1250.4695,814.20925,450.6805,140.8646667,285.8333333,171.0396667,138.7086667,88.97166667,114.2443333,-166.998,346.19175,82.26925,50.29975,461.97075,211.9295,549.18925,381.825,760.42275,954.25,202.834,-17.661,646.945,120.225,456.85675,1037.9945,1380.806,1161.333,661.359,576,647,1237.643,1277.626,999.842,627.5,686.6595,671,543.092,865.779,945,880.0405,356.0935,767.7175,777.323,831.139,1053.558,583.5,693.4625,643.5,907.068,550.99,351.466,318.41,323.488,368.4243333,349.09,362.128,265.4613333,316.0736667,846.7623333,1186.836333,673.8666667,534.2273333,738.444,772.288,725.569,724.447,887.1363333,904.93,663.5866667,742.625,752.189,663.8213333
80.58,761.3845,523.45,1666.8225,401.965,644.44125,619.1605,786.93625,905.222,1265.053,772.52725,473.641,157.4916667,264.5,160.181,151.8876667,105.7733333,125.7033333,-77.48675,386.7755,143.91975,62.089,410.73425,184.162,461.189,323.761,676.70225,883.5,144.499,-75.92775,630.8555,72.077,521.33875,987.6765,1239.888,1211.7955,703.289,492,699,1303.3385,1437.0255,906.895,675,635.4605,645,626.136,880.2755,928.5,880.6325,382.7485,852.17,679.194,798.92,1006.468,505.5,688.2975,576.5085,829.758,428.3915,343.5786667,338.7033333,347.2643333,378.0646667,331.619,396.806,251.859,311.8413333,856.3843333,1179.470333,680.7676667,541.9393333,745.6246667,762.3273333,734.441,740.0573333,840.5866667,879.922,656.0173333,741.661,740.8593333,650.3273333
80.806,707.3755,643.8785,1737.12225,378.64475,634.63,674.99875,798.91875,773.51775,1284.61175,727.76475,504.48525,152.595,258.1666667,150.749,118.0543333,104.4416667,105.611,-118.95725,369.3415,115.087,71.57075,350.73425,144.15375,489.20625,224.35775,703.852,878.5,154.74475,-32.03875,706.905,-66.43225,437.98275,1228.685,1362.0205,1113.653,700.9355,504,575,1342.803,1253.915,922.155,716.5,707.884,689.5,589.818,905.709,895.5,1023.415,408.842,796.073,670.9675,771.7005,987.4165,553.5,771.9485,609.364,889.9405,549.9645,353.8076667,338.1323333,321.8616667,390.5886667,309.7533333,304.1513333,246.7586667,318.942,836.2946667,1196.452667,677.5703333,552.5153333,760.0116667,747.4243333,719.7746667,782.4756667,883.6206667,859.451,689.7106667,753.027,719.2956667,627.9496667
81.033,723.05075,553.26,1629.01925,392.973,529.99075,631.64475,710.20875,752.3135,1201.5835,861.59625,502.71875,111.103,241.5,151.0966667,98.851,88.38166667,110.363,-153.26475,342.40675,144.20025,26.792,443.69375,91.152,573.3605,395.482,670.4355,832.5,110.72975,-40.22025,719.9275,-82.8825,489.7035,1032.656,1452.1075,1229.7855,701.0955,634,592,1318.638,1316.3845,814.3265,574.5,717.2955,649,563.245,853.207,933.5,1007.517,399.507,807.6155,741.2245,819.9675,1084.5425,631.5,806.9555,744.16,891.3145,566.1635,320.3616667,301.7253333,297.2323333,394.7936667,301.2656667,291.8833333,268.32,318.8373333,834.4203333,1197.671,647.8106667,553.2313333,718.024,753.982,689,786.1476667,941.0836667,870.289,673.646,741.9103333,719.2273333,638.7553333
81.26,787.785,584.37875,1559.80775,348.33275,531.0895,582.6865,700.8475,786.1805,1074.9175,865.42075,514.2905,89.75,248.5,172.073,134.07,85.19866667,105.0786667,-144.8635,301.1395,120.5385,15.3905,436.2365,208.1405,472.38725,245.8855,785.377,934.25,47.85975,-47.74975,690.3645,-79.86425,584.3285,1088.0185,1430.2345,1148.8315,806.4475,575.5,664,1278.932,1239.541,839.932,621.5,780.047,631,529.3845,943.289,903.5,853.408,392,895.2635,732.5665,781.5065,1053.6565,534,696.037,692.779,775.097,517.284,315.129,317.609,328.8793333,387.782,295.4966667,350.284,258.1573333,325.4256667,839.1173333,1192.457667,617.0033333,541.5,703.3376667,745.3656667,649.206,753.8116667,850.3126667,887.2246667,675.5986667,758.2906667,724.3966667,662.599
